Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Study Time per Day (hrs),Material Name,Material Level,IQ of Student
Chaitaly Behl,12,Other,India,West Bengal,Siliguri,Engineer,Middle,8,4,Computer Science,62,2.8,Interactive Quiz,1,129
Samesh Swamy,10,Male,India,Tamil Nadu,Coimbatore,Software Developer,Middle,7,5,Mathematics,6,4.1,E-Book,1,140
Dalbir Chacko,14,Male,India,Rajasthan,Udaipur,Business Owner,High,5,2,Computer Science,96,4.5,Textbook,2,115
Utkarsh Nagy,16,Female,India,West Bengal,Siliguri,Business Owner,High,9,3,English,98,2.0,E-Book,2,136
Tripti Banerjee,11,Male,India,West Bengal,Kolkata,Engineer,Middle,1,3,Science,56,2.5,E-Book,2,116
Triya Munshi,10,Male,India,Rajasthan,Jodhpur,Business Owner,Middle,12,2,Computer Science,3,4.1,E-Book,1,129
Brijesh Mohan,13,Male,India,Gujarat,Surat,Business Owner,Low,3,3,History,14,0.5,Textbook,2,82
Faraj Khanna,17,Female,India,Uttar Pradesh,Kanpur,Government Employee,High,11,4,Computer Science,91,0.8,Interactive Quiz,1,91
Ekaja Chandra,11,Other,India,Maharashtra,Pune,Doctor,Middle,9,2,Science,6,2.2,Video Lesson,1,106
Lajita Murthy,18,Male,India,Tamil Nadu,Chennai,Doctor,Middle,6,2,English,3,4.0,Video Lesson,2,106
Brijesh Sethi,10,Male,India,Rajasthan,Jodhpur,Farmer,Middle,4,4,Computer Science,3,2.2,E-Book,2,113
Jacob Chahal,11,Other,India,Uttar Pradesh,Kanpur,Doctor,Low,11,1,Science,55,2.5,Interactive Quiz,3,117
Kala Sidhu,14,Male,India,Karnataka,Mysore,Government Employee,Low,7,3,English,68,3.2,Video Lesson,2,130
Ekbal Sagar,16,Other,India,West Bengal,Asansol,Engineer,Low,11,1,History,92,4.1,E-Book,1,136
Wahab Subramanian,13,Other,India,Maharashtra,Pune,Farmer,Low,12,1,Computer Science,9,3.7,Textbook,3,116
Ridhi Bera,12,Female,India,Tamil Nadu,Coimbatore,Teacher,Low,12,3,Science,70,2.1,E-Book,1,120
Rudra Boase,10,Other,India,Maharashtra,Nagpur,Engineer,High,8,1,Science,95,2.1,E-Book,3,119
Aryan Chokshi,12,Other,India,Rajasthan,Udaipur,Doctor,High,3,1,Computer Science,95,4.1,E-Book,3,138
Darika Mohanty,13,Other,India,Uttar Pradesh,Lucknow,Business Owner,Low,9,3,Science,0,3.1,E-Book,1,132
Urmi Natt,10,Male,India,West Bengal,Siliguri,Farmer,High,10,1,Mathematics,47,3.0,E-Book,2,84
Umang Chaudhuri,17,Male,India,Maharashtra,Nagpur,Software Developer,Middle,11,1,Science,4,1.9,Video Lesson,3,140
Aarna Pai,12,Other,India,Gujarat,Ahmedabad,Government Employee,Middle,3,3,Science,47,1.5,Textbook,1,114
Bina Jayaraman,15,Male,India,Maharashtra,Nagpur,Doctor,Middle,2,2,English,17,2.6,E-Book,2,118
Lajita Das,18,Male,India,Karnataka,Bangalore,Engineer,High,5,1,Computer Science,11,0.6,E-Book,3,116
Jalsa Zachariah,12,Male,India,Rajasthan,Udaipur,Engineer,Low,2,4,English,63,4.2,Textbook,3,103
Janya Morar,13,Male,India,Uttar Pradesh,Lucknow,Government Employee,Low,6,3,English,72,1.5,Video Lesson,2,82
Balvan Munshi,10,Other,India,West Bengal,Siliguri,Engineer,High,3,5,Computer Science,1,4.7,Interactive Quiz,3,116
Rajeshri Pandya,16,Male,India,Rajasthan,Udaipur,Engineer,Middle,2,4,Science,98,0.6,Video Lesson,3,106
Wridesh Sibal,15,Other,India,Rajasthan,Udaipur,Farmer,Middle,6,4,Mathematics,76,3.2,Interactive Quiz,1,109
Bahadurjit Krish,16,Other,India,Rajasthan,Jodhpur,Software Developer,High,7,2,Computer Science,33,2.8,Textbook,3,83
Wriddhish Sood,13,Female,India,Karnataka,Bangalore,Engineer,High,8,3,English,78,3.2,Video Lesson,1,82
Kiaan Behl,11,Other,India,Rajasthan,Jodhpur,Doctor,High,10,1,History,41,2.1,E-Book,3,90
Viraj Choudhry,18,Female,India,Uttar Pradesh,Kanpur,Business Owner,Low,11,3,Science,29,2.6,Video Lesson,3,113
Daksha Kade,17,Female,India,West Bengal,Siliguri,Software Developer,High,10,1,Science,93,4.6,Video Lesson,2,115
Udyati Majumdar,15,Female,India,West Bengal,Siliguri,Doctor,Low,10,5,Mathematics,80,3.6,E-Book,1,116
Upadhriti Dixit,16,Male,India,Maharashtra,Mumbai,Engineer,High,3,1,History,92,1.0,Interactive Quiz,3,84
Zayyan Deol,15,Female,India,West Bengal,Siliguri,Business Owner,Low,10,1,Computer Science,38,1.3,E-Book,2,82
Bhavani Dugar,17,Other,India,Tamil Nadu,Chennai,Government Employee,Middle,12,1,English,21,1.8,Textbook,1,108
Jason Pandya,12,Male,India,Karnataka,Mysore,Business Owner,High,5,5,Computer Science,36,1.5,Video Lesson,2,86
Aryan Ravel,17,Male,India,Tamil Nadu,Chennai,Software Developer,Low,6,4,Science,27,4.0,Video Lesson,2,88
Oliver Misra,13,Female,India,Karnataka,Hubli,Farmer,Low,3,3,Computer Science,97,4.5,Video Lesson,3,94
Edhitha Chaudry,17,Male,India,Tamil Nadu,Madurai,Business Owner,High,8,5,Science,45,1.0,Textbook,2,93
Ishaan Kari,15,Other,India,Gujarat,Vadodara,Teacher,High,8,1,History,95,3.6,E-Book,2,133
Radhika Shah,11,Other,India,Tamil Nadu,Madurai,Engineer,Low,9,2,Mathematics,17,0.6,E-Book,3,115
Veer Gola,12,Other,India,Karnataka,Bangalore,Business Owner,Low,8,2,History,27,2.7,Video Lesson,1,119
Bhavika Jhaveri,16,Female,India,West Bengal,Asansol,Farmer,High,8,5,Computer Science,18,0.6,Interactive Quiz,3,101
Ria Thakkar,10,Female,India,Gujarat,Vadodara,Government Employee,Low,8,2,Mathematics,97,4.0,Textbook,3,88
Anusha Sankaran,17,Male,India,Karnataka,Hubli,Teacher,High,12,5,Mathematics,77,1.9,Video Lesson,3,122
Lakshmi Mallick,16,Male,India,Rajasthan,Jodhpur,Teacher,Low,5,1,Science,68,4.1,Textbook,3,125
Janya Ganguly,16,Other,India,Uttar Pradesh,Kanpur,Teacher,Low,5,2,Computer Science,12,0.7,E-Book,1,129
Akshay Dubey,18,Female,India,Gujarat,Surat,Government Employee,Middle,3,5,Science,89,3.7,E-Book,2,95
Anamika Badal,11,Other,India,Uttar Pradesh,Varanasi,Doctor,Middle,2,5,Computer Science,13,4.6,Video Lesson,1,139
Rohan Bhattacharyya,18,Male,India,Rajasthan,Jaipur,Engineer,High,12,2,History,92,1.5,Video Lesson,3,120
Azad Kulkarni,11,Other,India,West Bengal,Siliguri,Engineer,High,10,4,Mathematics,93,1.1,Video Lesson,3,115
Raghav Swamy,11,Other,India,West Bengal,Asansol,Teacher,Middle,12,4,Computer Science,82,3.6,Interactive Quiz,1,121
Devika Deo,18,Male,India,Rajasthan,Jodhpur,Business Owner,High,10,4,History,46,1.5,E-Book,2,118
Jeevika Randhawa,16,Other,India,Tamil Nadu,Chennai,Software Developer,High,4,2,Science,80,2.0,Interactive Quiz,1,87
Pranit Wason,10,Male,India,Karnataka,Hubli,Teacher,Low,6,5,Science,40,2.1,Video Lesson,2,83
Kashvi Rastogi,17,Other,India,Uttar Pradesh,Lucknow,Farmer,Middle,12,3,English,10,0.9,Video Lesson,1,127
Reyansh Shan,11,Male,India,Rajasthan,Jaipur,Software Developer,Low,5,1,Computer Science,42,3.3,Video Lesson,1,85
Rajeshri Savant,12,Male,India,Tamil Nadu,Coimbatore,Software Developer,Low,12,1,Mathematics,92,4.6,E-Book,2,118
Reva Rege,10,Female,India,Maharashtra,Nagpur,Doctor,High,10,1,History,47,4.6,E-Book,3,128
Eesha Dutt,17,Female,India,Uttar Pradesh,Lucknow,Government Employee,High,5,5,Mathematics,43,2.0,Video Lesson,3,139
Manan Raja,10,Female,India,Tamil Nadu,Madurai,Business Owner,Middle,9,1,Computer Science,82,4.2,Interactive Quiz,3,134
Yadavi Karan,10,Female,India,Rajasthan,Udaipur,Farmer,High,1,5,Mathematics,10,1.0,Interactive Quiz,2,126
Isha Baria,12,Other,India,Maharashtra,Mumbai,Government Employee,Middle,8,1,History,71,3.1,Textbook,3,129
Caleb Dara,16,Female,India,Maharashtra,Pune,Farmer,Low,7,5,Mathematics,8,1.6,Interactive Quiz,2,96
Patrick Agarwal,12,Other,India,Uttar Pradesh,Kanpur,Engineer,Low,7,1,Computer Science,66,4.3,E-Book,1,102
Hardik Gopal,11,Male,India,Karnataka,Bangalore,Software Developer,Middle,1,2,Science,59,1.0,Video Lesson,3,122
Sarthak Pillai,14,Male,India,Maharashtra,Mumbai,Teacher,High,9,4,History,96,4.5,Textbook,2,130
Avni Luthra,12,Male,India,West Bengal,Siliguri,Business Owner,Low,12,1,English,48,1.1,Textbook,2,97
Chakrika Rastogi,18,Female,India,West Bengal,Kolkata,Software Developer,Low,10,5,English,46,4.5,E-Book,3,125
Yutika Balan,10,Male,India,Karnataka,Bangalore,Doctor,Low,3,1,English,4,0.7,Video Lesson,2,121
Eesha Bava,13,Male,India,Rajasthan,Udaipur,Farmer,High,2,5,English,15,3.4,Video Lesson,1,112
Gabriel Chaudhary,17,Male,India,Maharashtra,Mumbai,Engineer,High,4,2,English,51,2.9,E-Book,3,134
Bhavya Shere,15,Female,India,Uttar Pradesh,Lucknow,Doctor,Low,6,1,Mathematics,16,4.0,Interactive Quiz,2,95
Zaid Dhar,12,Female,India,West Bengal,Siliguri,Farmer,High,7,5,English,12,1.3,E-Book,1,125
Gaurika Kulkarni,10,Female,India,Tamil Nadu,Coimbatore,Farmer,High,12,3,History,55,3.2,E-Book,2,125
Lavanya Nagy,11,Male,India,Gujarat,Ahmedabad,Software Developer,Low,4,5,History,13,2.7,Video Lesson,3,112
Utkarsh Kamdar,11,Other,India,West Bengal,Kolkata,Business Owner,Low,9,1,History,59,5.0,E-Book,1,104
Yashasvi Soni,15,Other,India,West Bengal,Kolkata,Business Owner,High,8,3,English,72,2.7,Interactive Quiz,1,91
Noah Kunda,10,Female,India,Tamil Nadu,Chennai,Engineer,Low,6,2,History,61,1.5,Interactive Quiz,1,113
Bachittar Bhargava,18,Other,India,Gujarat,Ahmedabad,Doctor,High,6,1,History,71,2.8,Video Lesson,2,96
Keya Chand,14,Female,India,West Bengal,Asansol,Software Developer,High,8,4,Computer Science,92,1.4,Interactive Quiz,1,108
Chakradev Nazareth,18,Male,India,West Bengal,Kolkata,Farmer,High,12,3,Computer Science,41,0.7,E-Book,1,89
Aarna Sama,13,Female,India,Karnataka,Mysore,Farmer,High,7,5,Mathematics,85,1.7,Video Lesson,2,82
Advaith Vasa,13,Other,India,West Bengal,Siliguri,Software Developer,High,2,5,Science,18,1.2,E-Book,3,96
Jagdish Dhaliwal,10,Male,India,Gujarat,Ahmedabad,Software Developer,Middle,7,4,Computer Science,63,1.6,E-Book,1,107
Jacob Mallick,10,Male,India,West Bengal,Kolkata,Government Employee,Low,10,4,English,40,1.6,Textbook,3,109
Atharv Malhotra,11,Female,India,Rajasthan,Jaipur,Software Developer,Middle,2,2,Science,15,3.6,Video Lesson,2,80
Balvan Magar,16,Male,India,West Bengal,Siliguri,Doctor,Low,7,5,English,12,4.4,Textbook,1,88
Bishakha Loyal,13,Female,India,Karnataka,Mysore,Business Owner,Middle,3,4,Mathematics,32,1.6,Textbook,3,135
Warinder Dar,16,Female,India,Uttar Pradesh,Kanpur,Software Developer,Middle,4,1,Mathematics,43,2.5,Textbook,1,90
Vasana Walla,18,Female,India,Tamil Nadu,Coimbatore,Business Owner,Middle,4,5,Mathematics,40,3.0,E-Book,1,121
Daksha Ghosh,10,Female,India,Karnataka,Bangalore,Engineer,Middle,9,3,Science,41,4.8,Interactive Quiz,1,121
Chakrika Bhatnagar,10,Female,India,Tamil Nadu,Coimbatore,Software Developer,High,3,5,Mathematics,80,2.1,Interactive Quiz,2,122
Pushti Kumer,15,Female,India,Rajasthan,Udaipur,Government Employee,High,7,1,Science,98,3.2,Textbook,2,113
Mahika Saini,10,Other,India,Karnataka,Mysore,Doctor,High,5,4,Mathematics,32,1.9,Video Lesson,1,101
Sai Prasad,13,Male,India,Tamil Nadu,Madurai,Business Owner,High,7,5,Mathematics,5,1.9,Textbook,1,131
Udyati Chokshi,15,Male,India,Karnataka,Mysore,Engineer,Low,7,4,English,73,3.2,Interactive Quiz,1,134
Arin Tank,11,Other,India,Karnataka,Bangalore,Software Developer,Low,9,1,History,85,3.4,Interactive Quiz,3,83
Vedant Warrior,11,Male,India,Rajasthan,Udaipur,Software Developer,Low,9,1,Science,47,1.4,Textbook,3,105
Amruta Gour,17,Female,India,Tamil Nadu,Chennai,Doctor,High,3,2,Science,23,3.2,E-Book,2,132
Wahab Tank,13,Other,India,Rajasthan,Jodhpur,Doctor,Low,4,5,Computer Science,47,2.2,Video Lesson,1,108
Sai Anne,18,Male,India,Karnataka,Bangalore,Government Employee,High,7,2,Computer Science,0,1.1,Textbook,3,104
Ranbir Muni,11,Other,India,Rajasthan,Jodhpur,Software Developer,Low,11,3,Computer Science,78,0.7,Textbook,2,127
Robert Roy,10,Female,India,Karnataka,Hubli,Teacher,Middle,1,2,Science,84,3.5,Video Lesson,2,128
Janani Manne,16,Female,India,Tamil Nadu,Coimbatore,Doctor,Middle,4,1,English,90,4.0,E-Book,1,111
Bachittar Varghese,15,Male,India,Gujarat,Vadodara,Business Owner,High,6,1,History,17,2.7,Interactive Quiz,1,114
Gagan Majumdar,13,Other,India,Rajasthan,Jodhpur,Government Employee,Middle,6,3,Science,55,1.0,Video Lesson,2,84
Falan Sangha,13,Other,India,Maharashtra,Pune,Software Developer,High,2,1,Computer Science,80,1.2,E-Book,1,82
Wyatt Ramanathan,18,Male,India,Maharashtra,Pune,Government Employee,Low,12,2,History,60,4.2,Video Lesson,1,105
Gabriel Modi,16,Female,India,Maharashtra,Mumbai,Business Owner,High,9,1,English,87,4.0,Interactive Quiz,3,138
Gaurang Radhakrishnan,12,Male,India,Rajasthan,Udaipur,Business Owner,Low,1,2,Mathematics,85,2.6,Interactive Quiz,3,129
Saumya Amble,11,Female,India,West Bengal,Kolkata,Doctor,Low,4,4,English,51,4.9,Video Lesson,2,132
Oni Borde,12,Female,India,Tamil Nadu,Madurai,Government Employee,Middle,6,4,History,91,0.7,E-Book,2,110
Jeet Chauhan,11,Female,India,Maharashtra,Nagpur,Software Developer,Low,7,3,Science,18,2.8,Interactive Quiz,2,99
Jatin Sunder,10,Male,India,Gujarat,Surat,Engineer,Middle,3,2,Science,57,3.6,E-Book,3,83
Kai Dada,12,Other,India,Gujarat,Vadodara,Software Developer,Middle,1,2,History,72,1.6,E-Book,3,81
Samuel Bains,16,Male,India,West Bengal,Kolkata,Farmer,Middle,10,1,Mathematics,79,2.3,E-Book,3,127
Adweta Borra,16,Female,India,Gujarat,Vadodara,Teacher,Middle,2,4,Mathematics,88,1.9,Interactive Quiz,2,110
Alexander Kadakia,12,Female,India,West Bengal,Kolkata,Engineer,Middle,6,4,History,43,1.5,Video Lesson,2,115
Pushti Sachdeva,16,Male,India,Rajasthan,Jodhpur,Engineer,Middle,1,2,Science,90,1.7,Video Lesson,1,132
Advaith Badal,11,Male,India,Uttar Pradesh,Kanpur,Doctor,Low,4,5,Science,82,0.5,Interactive Quiz,1,130
Faras Menon,17,Other,India,Tamil Nadu,Madurai,Farmer,Middle,7,1,Mathematics,39,3.9,Textbook,3,116
Reyansh Golla,18,Male,India,Tamil Nadu,Madurai,Doctor,Low,7,4,Computer Science,33,4.8,Video Lesson,1,125
Anay Dara,14,Female,India,Karnataka,Bangalore,Government Employee,High,2,5,Mathematics,46,4.9,Interactive Quiz,1,116
Eshana Bhatia,10,Other,India,Rajasthan,Udaipur,Business Owner,High,7,1,Computer Science,18,3.7,Video Lesson,1,92
Gautam Parmar,10,Other,India,West Bengal,Kolkata,Government Employee,High,12,1,Mathematics,2,0.8,Textbook,2,83
Advik Narula,17,Female,India,Gujarat,Ahmedabad,Teacher,Middle,8,1,Mathematics,42,1.6,Textbook,3,108
Jagrati Raghavan,11,Female,India,Rajasthan,Jodhpur,Doctor,Middle,7,3,English,35,4.2,Interactive Quiz,3,96
Anjali Ganesh,15,Female,India,Tamil Nadu,Coimbatore,Government Employee,Middle,2,4,Science,11,1.9,Textbook,1,87
Vasatika Kata,11,Female,India,West Bengal,Siliguri,Doctor,High,2,1,Mathematics,51,5.0,Textbook,2,84
Max Gara,13,Female,India,Uttar Pradesh,Varanasi,Farmer,Middle,2,2,History,5,2.9,E-Book,3,117
Unni Kalla,12,Female,India,West Bengal,Kolkata,Doctor,Middle,3,2,Mathematics,98,1.7,E-Book,1,97
Fariq Mane,11,Male,India,Uttar Pradesh,Kanpur,Software Developer,Low,7,4,Computer Science,68,4.9,Textbook,1,123
Neel Pillay,15,Female,India,Rajasthan,Jodhpur,Teacher,Low,6,4,Science,6,2.9,Video Lesson,2,100
Jeremiah Sandhu,17,Male,India,Rajasthan,Jodhpur,Farmer,High,7,1,Computer Science,55,3.1,Video Lesson,3,130
Qushi Sha,16,Other,India,Tamil Nadu,Madurai,Business Owner,High,1,2,Mathematics,13,3.5,Textbook,2,126
Sudiksha Kala,10,Female,India,Uttar Pradesh,Kanpur,Software Developer,Low,12,5,Science,75,4.1,Textbook,3,126
Harsh Trivedi,17,Male,India,Gujarat,Surat,Farmer,Middle,1,1,Computer Science,72,3.4,Interactive Quiz,3,129
Yashvi Sawhney,13,Female,India,Maharashtra,Nagpur,Engineer,Middle,9,5,Mathematics,52,2.9,Interactive Quiz,1,138
Gabriel Jain,16,Female,India,Tamil Nadu,Chennai,Farmer,Low,5,5,Science,31,3.6,Video Lesson,1,106
Quincy Keer,17,Other,India,Uttar Pradesh,Kanpur,Software Developer,High,2,2,English,70,2.2,E-Book,1,122
Urmi Dora,11,Male,India,Gujarat,Vadodara,Farmer,Middle,12,2,English,36,3.7,Interactive Quiz,1,101
Teerth Prabhakar,17,Male,India,West Bengal,Kolkata,Business Owner,Low,9,4,Computer Science,55,5.0,Interactive Quiz,2,87
Ansh Kalla,18,Other,India,Uttar Pradesh,Varanasi,Teacher,High,4,3,Mathematics,90,1.4,E-Book,3,103
Chameli Padmanabhan,10,Male,India,Karnataka,Hubli,Business Owner,Middle,3,2,History,21,2.7,E-Book,2,119
Jai Salvi,16,Male,India,West Bengal,Siliguri,Doctor,Low,2,4,Mathematics,82,1.3,Video Lesson,3,108
Nimrat Shukla,13,Male,India,Karnataka,Bangalore,Engineer,High,12,5,English,44,1.5,Video Lesson,3,103
Chaman Gera,16,Female,India,Uttar Pradesh,Lucknow,Software Developer,Low,5,4,Computer Science,28,2.4,E-Book,1,105
Aadhya Nagarajan,10,Male,India,Karnataka,Hubli,Doctor,High,7,1,Mathematics,97,4.9,E-Book,2,90
Januja Thaker,18,Female,India,Uttar Pradesh,Kanpur,Engineer,High,7,4,Mathematics,47,3.9,Video Lesson,3,100
Tanay Bala,15,Other,India,Uttar Pradesh,Lucknow,Farmer,Middle,3,2,Computer Science,29,3.0,Interactive Quiz,3,86
Karan Guha,13,Female,India,Gujarat,Surat,Business Owner,Low,2,1,Mathematics,46,1.7,Video Lesson,1,116
Mitesh Tandon,13,Female,India,Tamil Nadu,Madurai,Government Employee,High,10,3,History,44,4.2,E-Book,1,140
Sai Patla,16,Female,India,Karnataka,Mysore,Farmer,Middle,1,5,Mathematics,8,4.8,E-Book,2,139
Maanas Banik,16,Other,India,West Bengal,Asansol,Teacher,Low,3,2,English,98,4.5,Video Lesson,2,114
Ikshita Ray,15,Female,India,Rajasthan,Jaipur,Farmer,Middle,7,1,History,81,2.0,Textbook,1,137
Kavya Wagle,18,Other,India,Maharashtra,Nagpur,Farmer,High,2,1,English,21,0.7,E-Book,2,116
Arjun Seth,16,Other,India,Maharashtra,Mumbai,Doctor,High,7,5,Science,94,4.5,Interactive Quiz,1,113
Wridesh Krish,10,Other,India,Gujarat,Vadodara,Business Owner,Middle,3,1,English,55,3.8,Textbook,2,127
Jyoti Handa,18,Male,India,West Bengal,Asansol,Teacher,High,10,5,Computer Science,60,3.2,Interactive Quiz,3,105
Maanas Varughese,11,Other,India,Tamil Nadu,Coimbatore,Government Employee,High,6,1,Science,5,3.3,Textbook,1,138
Adya Bajwa,16,Female,India,Tamil Nadu,Madurai,Government Employee,High,10,3,Science,44,4.0,Textbook,1,107
Yug Bansal,13,Male,India,West Bengal,Siliguri,Engineer,Middle,9,2,History,96,2.0,Interactive Quiz,2,130
Vamakshi Sankaran,18,Female,India,Karnataka,Hubli,Business Owner,Middle,8,5,Science,62,1.7,Interactive Quiz,3,91
Yashodhara Nagar,10,Male,India,Maharashtra,Pune,Doctor,Middle,11,4,History,43,2.1,Textbook,2,86
Yauvani Solanki,15,Male,India,Maharashtra,Mumbai,Government Employee,High,11,2,English,90,3.6,Textbook,3,116
Radha Sampath,11,Female,India,Tamil Nadu,Madurai,Teacher,Low,4,4,Science,100,4.6,E-Book,1,99
Jonathan Mandal,13,Male,India,Uttar Pradesh,Kanpur,Government Employee,Low,2,1,History,1,0.6,E-Book,3,95
Urishilla Rajagopalan,14,Male,India,Gujarat,Surat,Software Developer,Middle,8,1,Science,79,4.5,Interactive Quiz,1,96
Daksh Salvi,15,Other,India,West Bengal,Asansol,Government Employee,Low,1,5,Science,54,2.3,Interactive Quiz,2,122
Falak Chaudhari,17,Male,India,Tamil Nadu,Madurai,Business Owner,Low,5,5,Mathematics,21,1.2,Textbook,2,138
Mason Bora,12,Other,India,Uttar Pradesh,Lucknow,Doctor,High,10,5,Computer Science,42,1.0,Video Lesson,3,132
Ojasvi Chhabra,10,Male,India,Gujarat,Vadodara,Business Owner,Low,10,2,Computer Science,51,2.8,Video Lesson,2,139
Kashish Venkatesh,11,Male,India,Maharashtra,Pune,Doctor,Low,9,5,History,88,2.4,Interactive Quiz,2,95
Ayush Bava,18,Female,India,West Bengal,Asansol,Software Developer,High,6,3,English,81,3.7,Interactive Quiz,2,134
Oliver Hegde,16,Other,India,Tamil Nadu,Coimbatore,Farmer,Middle,1,2,English,3,1.9,Interactive Quiz,2,121
Aryan Dada,14,Female,India,Maharashtra,Pune,Government Employee,High,12,5,English,87,3.9,E-Book,2,129
Ayushman Mittal,17,Other,India,Gujarat,Surat,Farmer,Middle,1,3,Computer Science,38,3.1,Interactive Quiz,1,112
Yadavi Dutta,17,Male,India,West Bengal,Kolkata,Government Employee,Middle,3,2,History,3,4.2,Video Lesson,3,82
Lucky Kulkarni,13,Male,India,Maharashtra,Pune,Teacher,Middle,11,5,Computer Science,34,4.0,Textbook,3,101
Jeet Deol,14,Male,India,Karnataka,Hubli,Farmer,High,2,5,Computer Science,13,2.8,E-Book,3,105
William Ramaswamy,10,Male,India,West Bengal,Asansol,Engineer,High,11,3,History,8,2.8,Video Lesson,1,98
Maya Nadkarni,12,Male,India,Gujarat,Surat,Business Owner,Middle,6,3,Mathematics,25,3.7,Textbook,3,126
Yagnesh Balay,10,Female,India,Uttar Pradesh,Kanpur,Farmer,High,12,4,Computer Science,32,3.9,Textbook,2,129
Raksha Chatterjee,17,Male,India,Uttar Pradesh,Kanpur,Software Developer,Middle,1,4,Mathematics,61,3.6,Textbook,3,140
Ekalinga Yadav,11,Other,India,Maharashtra,Pune,Farmer,Low,6,2,English,93,1.1,Interactive Quiz,3,122
Vaishnavi Mallick,12,Male,India,Karnataka,Mysore,Farmer,High,10,2,History,53,4.5,E-Book,1,99
Harish Madan,13,Male,India,Maharashtra,Nagpur,Teacher,Middle,3,4,History,72,1.3,Interactive Quiz,1,136
Anthony Memon,12,Male,India,Karnataka,Bangalore,Farmer,High,10,5,Science,53,4.1,Interactive Quiz,3,117
Oni Dalal,13,Male,India,Tamil Nadu,Madurai,Farmer,Low,10,5,Computer Science,2,2.2,E-Book,1,139
Daksh Reddy,14,Male,India,Gujarat,Ahmedabad,Doctor,High,3,1,Computer Science,5,0.8,Interactive Quiz,1,89
Vedhika Gopal,16,Other,India,West Bengal,Siliguri,Business Owner,Middle,5,3,English,74,1.1,Interactive Quiz,3,96
Sathvik Modi,13,Other,India,Tamil Nadu,Madurai,Business Owner,High,9,4,English,7,4.7,Textbook,1,97
Yashoda Kapadia,17,Female,India,Tamil Nadu,Chennai,Farmer,Middle,9,2,English,84,0.7,Video Lesson,3,100
Faqid Nadkarni,14,Male,India,Tamil Nadu,Madurai,Software Developer,High,6,3,History,60,3.6,E-Book,3,85
Pahal Ramachandran,12,Other,India,Tamil Nadu,Coimbatore,Government Employee,High,11,5,History,69,4.6,Textbook,1,140
Yash Pillay,12,Other,India,West Bengal,Siliguri,Government Employee,Middle,4,1,English,89,1.0,Textbook,1,134
Oliver Goswami,13,Male,India,Gujarat,Ahmedabad,Business Owner,High,4,4,Mathematics,31,2.9,Textbook,3,102
Aadi Bassi,16,Other,India,Maharashtra,Nagpur,Government Employee,Middle,9,4,Computer Science,50,1.1,Textbook,3,107
Yashodhara Brar,13,Male,India,Rajasthan,Jaipur,Software Developer,Middle,3,5,Mathematics,89,2.1,Interactive Quiz,2,121
Varsha Jaggi,14,Female,India,Maharashtra,Pune,Doctor,Middle,7,2,Science,6,2.1,Interactive Quiz,2,97
Shivansh Sood,13,Male,India,Karnataka,Bangalore,Government Employee,High,5,4,Computer Science,73,2.2,Interactive Quiz,2,112
Nandini Pant,11,Other,India,Karnataka,Hubli,Doctor,Middle,10,2,English,19,2.5,Video Lesson,3,90
Azad Kalla,11,Female,India,Rajasthan,Jaipur,Business Owner,Middle,8,5,History,67,4.6,Textbook,2,93
Arjun Mand,14,Male,India,Gujarat,Surat,Doctor,Middle,10,3,Mathematics,84,3.1,Textbook,2,101
Rajata Seshadri,10,Other,India,Gujarat,Ahmedabad,Farmer,Middle,10,3,History,22,0.6,Textbook,1,82
Advaith Bhatt,12,Male,India,Tamil Nadu,Madurai,Engineer,Middle,11,3,Computer Science,95,1.9,Interactive Quiz,2,98
Owen Walla,15,Female,India,Gujarat,Surat,Software Developer,High,2,2,History,11,5.0,E-Book,1,131
Anmol Bajwa,10,Male,India,West Bengal,Asansol,Software Developer,Middle,11,4,English,77,3.1,Video Lesson,3,128
Chatresh Joshi,18,Male,India,West Bengal,Siliguri,Doctor,High,3,2,Science,96,4.7,Video Lesson,3,100
Eesha Lalla,15,Male,India,Maharashtra,Mumbai,Doctor,Low,1,4,English,63,2.2,Interactive Quiz,3,131
Odika Rout,12,Male,India,Gujarat,Surat,Doctor,High,3,2,Computer Science,40,3.8,E-Book,3,121
Nathan Kale,18,Male,India,Uttar Pradesh,Varanasi,Farmer,High,11,5,Mathematics,37,2.1,Video Lesson,2,110
Oliver Devan,15,Male,India,Tamil Nadu,Chennai,Software Developer,High,11,2,Mathematics,96,4.8,Textbook,1,118
Zashil Khosla,13,Other,India,West Bengal,Asansol,Engineer,Middle,7,4,Computer Science,80,1.4,Textbook,3,85
Ekavir Ahuja,11,Male,India,Uttar Pradesh,Lucknow,Doctor,Low,5,1,Mathematics,48,4.0,Interactive Quiz,2,109
Aayush Bhatt,15,Other,India,Rajasthan,Jaipur,Engineer,High,8,2,Mathematics,66,4.9,Interactive Quiz,2,103
Reyansh Jani,11,Female,India,West Bengal,Siliguri,Farmer,High,2,3,History,23,4.0,Interactive Quiz,2,119
Nidra Hayre,17,Female,India,Maharashtra,Mumbai,Software Developer,Middle,2,1,Science,48,4.3,Video Lesson,2,94
Yamini Kant,17,Female,India,Rajasthan,Udaipur,Doctor,High,2,1,Computer Science,77,3.5,Video Lesson,1,97
Yoshita Bala,10,Female,India,Rajasthan,Udaipur,Engineer,Low,12,4,English,1,0.6,Textbook,2,93
